n_test,delta_min_pp,best_selection_prob,normalized_entropy
100,4.4,35.2,0.52
200,3.1,42.1,0.47
500,2.0,58.3,0.38
1000,1.4,71.5,0.29
5000,0.6,89.2,0.15
10000,0.4,94.1,0.08
